variant,seed,threshold,acc,balanced_acc,real_recall,fake_recall
raw,s42,0.095278,0.6655,0.7047,0.7542,0.6552
raw,s123,0.223842,0.7319,0.7166,0.6973,0.7358
raw,s7,0.132996,0.6934,0.7352,0.7879,0.6825
raw,s999,0.177599,0.6636,0.7158,0.7816,0.6500
raw,s2048,0.354411,0.7178,0.7423,0.7732,0.7114
feature_norm,s42,0.460167,0.6516,0.7056,0.7737,0.6376
feature_norm,s123,0.474522,0.7314,0.7162,0.6971,0.7354
feature_norm,s7,0.470439,0.6812,0.7342,0.8010,0.6674
feature_norm,s999,0.446854,0.6827,0.7156,0.7570,0.6741
feature_norm,s2048,0.496648,0.7167,0.7420,0.7738,0.7102
feature_length,s42,,,0.5001,,
feature_length,s123,,,0.5896,,
feature_length,s7,,,0.5171,,
feature_length,s999,,,0.5937,,
feature_length,s2048,,,0.5866,,
